"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should stay on root URL (no locale prefix)","chromium","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should complete full password reset flow (forgot -> email -> reset -> login)","mobile-chrome","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","0","should show error when no token in URL","mobile-chrome","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","0","should display Google sign-in button on login page","mobile-chrome","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","0","should display Google sign-in button on login page","chromium","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","1","should display login form elements","chromium","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Login page","auth/login.spec.ts","",""
"","0","should display the main heading","chromium","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Home page","smoke/home.spec.ts","",""
"","1","should display Ukrainian content by default","chromium","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should display Ukrainian content by default","mobile-chrome","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should display user list","chromium","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","User management","admin/user-management.spec.ts","",""
"","0","should display user list","mobile-chrome","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","User management","admin/user-management.spec.ts","",""
"","47708","authenticate as admin user","auth-setup","Sat Feb 14 08:03:30 UTC 2026","broken","Sat Feb 14 08:04:18 UTC 2026","","../src/auth/auth.setup.ts","",""
"","47797","authenticate as basic user","auth-setup","Sat Feb 14 08:01:52 UTC 2026","broken","Sat Feb 14 08:02:40 UTC 2026","","../src/auth/auth.setup.ts","",""
"","0","should display forgot password form elements","mobile-chrome","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","0","should display login form elements","mobile-chrome","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Login page","auth/login.spec.ts","",""
"","0","should stay on root URL (no locale prefix)","mobile-chrome","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should complete full password reset flow (forgot -> email -> reset -> login)","chromium","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","0","should display the main heading","mobile-chrome","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should display forgot password form elements","chromium","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","1","should show error when no token in URL","chromium","Sat Feb 14 08:04:18 UTC 2026","skipped","Sat Feb 14 08:04:18 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
